%	reads	taxReads	kmers	dup	cov	taxID	rank	taxName
0.7434	200120	200120	246155139	1.23	NA	0	no rank	unclassified
99.26	26718945	0	707025872	3.89	0.04682	1	no rank	root
95.9	25815951	0	707025872	3.75	0.04774	131567	no rank	  cellular organisms
0.06372	17153	0	205515	3.24	1.745e-05	2	superkingdom	    Bacteria
0.02207	5941	189	34255	4.79	7.793e-06	1783272	no rank	      Terrabacteria group
0.01211	3261	187	21581	3.66	1.087e-05	201174	phylum	        Actinobacteria
0.01054	2836	1814	20726	3.42	1.078e-05	1760	class	          Actinobacteria
0.002199	592	3	13244	3.25	0.0001882	85009	order	            Propionibacteriales
0.002125	572	69	13175	3.25	0.0002908	31957	family	              Propionibacteriaceae
0.001809	487	20	10427	2.64	0.001008	1912216	genus	                Cutibacterium
0.001713	461	460	9918	2.55	0.002403	1747	species	                  Cutibacterium acnes
3.715e-06	1	0	1	1	5.432e-05	1000012761	assembly	                    GCF_001281065.1 Cutibacterium acnes strain=KCOM 1861 (= ChDC B594)
3.715e-06	1	1	1	1	5.432e-05	1000012762	sequence	                      NZ_CP012647.1 Cutibacterium acnes strain KCOM 1861 (= ChDC B594) chromosome, complete genome
1.114e-05	3	0	105	1	5.115e-05	33011	species	                  Cutibacterium granulosum
1.114e-05	3	0	105	1	5.115e-05	1000015678	assembly	                    GCF_900186975.1 Cutibacterium granulosum strain=NCTC11865
1.114e-05	3	3	105	1	5.115e-05	1000015679	sequence	                      NZ_LT906441.1 Cutibacterium granulosum strain NCTC11865 genome assembly, chromosome: 1
1.114e-05	3	2	31	1	7.668e-06	33010	species	                  Cutibacterium avidum
3.715e-06	1	0	1	1	5.961e-07	1000015676	assembly	                    GCF_001714705.1 Cutibacterium avidum strain=DPC 6544
3.715e-06	1	1	1	1	5.961e-07	1000015677	sequence	                      NZ_CP016954.1 Cutibacterium avidum strain DPC 6544, complete genome
4.829e-05	13	8	26	5.42	1.972e-06	72763	genus	                Tessaracoccus
1.857e-05	5	0	14	4.64	4.671e-06	1909732	species	                  Tessaracoccus sp. T2.5-30
1.857e-05	5	0	14	4.64	4.671e-06	1000023744	assembly	                    GCF_002022225.1 Tessaracoccus sp. T2.5-30
1.857e-05	5	5	14	4.64	4.671e-06	1000023745	sequence	                      NZ_CP019229.1 Tessaracoccus sp. T2.5-30, complete genome
7.43e-06	2	0	152	1	2.652e-05	1743	genus	                Propionibacterium
7.43e-06	2	0	152	1	6.299e-05	671223	species	                  Propionibacterium sp. oral taxon 193
7.43e-06	2	0	152	1	6.299e-05	1000021278	assembly	                    GCF_001717565.1 Propionibacterium sp. oral taxon 193 strain=F0672
7.43e-06	2	2	152	1	6.38e-05	1000021279	sequence	                      NZ_CP017040.1 Propionibacterium sp. oral taxon 193 strain F0672, complete genome
3.715e-06	1	0	21	1	3.814e-06	29404	genus	                Microlunatus
3.715e-06	1	0	21	1	3.814e-06	29405	species	                  Microlunatus phosphovorus
3.715e-06	1	0	21	1	3.814e-06	1032480	no rank	                    Microlunatus phosphovorus NM-1
3.715e-06	1	0	21	1	3.814e-06	1000015270	assembly	                      GCF_000270245.1 Microlunatus phosphovorus NM-1
3.715e-06	1	1	21	1	3.814e-06	1000015271	sequence	                        NC_015635.1 Microlunatus phosphovorus NM-1 DNA, complete genome
6.315e-05	17	2	64	3.91	2.554e-06	85015	family	              Nocardioidaceae
2.972e-05	8	0	16	5.94	4.68e-06	2040	genus	                Aeromicrobium
2.972e-05	8	0	16	5.94	4.68e-06	2041	species	                  Aeromicrobium erythreum
2.972e-05	8	0	16	5.94	4.68e-06	1000013292	assembly	                    GCF_001509405.1 Aeromicrobium erythreum strain=AR18
2.972e-05	8	8	16	5.94	4.68e-06	1000013293	sequence	                      NZ_CP011502.1 Aeromicrobium erythreum strain AR18, complete genome
2.6e-05	7	0	15	6.6	2.065e-06	182639	genus	                Kribbella
2.6e-05	7	0	15	6.6	2.065e-06	182640	species	                  Kribbella flavida
2.6e-05	7	0	15	6.6	2.065e-06	479435	no rank	                    Kribbella flavida DSM 17836
2.6e-05	7	0	15	6.6	2.065e-06	1000018977	assembly	                      GCF_000024345.1 Kribbella flavida DSM 17836
2.6e-05	7	7	15	6.6	2.065e-06	1000018978	sequence	                        NC_013729.1 Kribbella flavida DSM 17836, complete genome
0.0004309	116	1	1254	2.09	3.993e-06	85006	order	            Micrococcales
0.0001412	38	27	183	3.49	1.794e-06	85023	family	              Microbacteriaceae
2.229e-05	6	1	13	17.8	2.426e-06	33886	genus	                Rathayibacter
1.857e-05	5	0	3	74	9.728e-07	33888	species	                  Rathayibacter tritici
